Product_id,BrandName,Category,Individual_category,category_by_Gender,DiscountPrice (in Rs),OriginalPrice (in Rs),DiscountOffer,SizeOption,Ratings,Reviews,Column1,Column2,Column3
6611361,Anouk,Indian Wear,kurta-sets,Women,1199,2999,60% OFF,"XS, S, M, L, XL, XXL",4.1,932,60%,OFF,1799.4
11357430,HRX by Hrithik Roshan,Sports Wear,shorts,Women,599,1499,60% OFF,"26, 28, 30, 32, 34, 36",4.3,932,60%,OFF,899.4
1979350,HIGHLANDER,Bottom Wear,trousers,Men,769,999,23% OFF,"30, 32, 34, 36",4,931,23%,OFF,229.77
9168717,U.S. Polo Assn.,Inner Wear &  Sleep Wear,trunk,Men,,369,,"S, M, L",4.5,931,,, 
8943339,HERE&NOW,Topwear,shirts,Men,664,1899,65% OFF,"38, 40, 42, 44, 46",4.1,931,65%,OFF,1234.35
10275261,Roadster,Topwear,shirts,Men,899,1999,55% OFF,"38, 40, 42, 44",4.1,931,55%,OFF,1099.45
13843034,SASSAFRAS,Western,tops,Women,,999,52% OFF,"XS, S, M, L, XL",4.4,931,52%,OFF,519.48
10064543,Roadster,Bottom Wear,jeans,Men,799,1999,60% OFF,"28, 30, 32, 34, 36, 38, 40",3.8,930,60%,OFF,1199.4
13859292,Roadster,Bottom Wear,trousers,Men,584,1299,55% OFF,"28, 30, 32, 34, 36",4,930,55%,OFF,714.45
11444888,Jockey,Inner Wear &  Sleep Wear,trunk,Men,,429,,"S, M, L",4.3,930,,, 
12631330,Inddus,Indian Wear,sarees,Women,2479,6199,60% OFF,Onesize,4.2,930,60%,OFF,3719.4
9371507,Sangria,Plus Size,kurtas,Women,599,1499,60% OFF,"XS, S, M, L, XL, XXL",3.7,930,60%,OFF,899.4
12033996,Tokyo Talkies,Western,jumpsuit,Women,,2149,48% OFF,"S, M, L, XL",4.3,930,48%,OFF,1031.52
8964507,Roadster,Western,tops,Women,,999,Rs. 500 OFF,"XS, S, M, L, XL",4.3,930,,500,500
11201226,Roadster,Bottom Wear,trousers,Men,,2099,,"28, 30, 32, 34, 36, 38, 40",4.1,929,,, 
2453736,Hangup,Indian Wear,kurtas,Men,874,2499,65% OFF,"M, L, XL, XXL",4,929,65%,OFF,1624.35
12446096,URBAN SCOTTISH,Inner Wear &  Sleep Wear,boxers,Men,674,1499,55% OFF,"S, M, L, XL, XXL",4.4,929,55%,OFF,824.45
2303707,Roadster,Topwear,tshirts,Men,,1299,,"XS, S, M, L, XL, XXL, 3XL, 4XL",3.7,929,,, 
10424670,Roadster,Topwear,tshirts,Men,,899,,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.2,929,,, 
17381472,Roadster,Western,tshirts,Women,,1198,50% OFF,"XS, S, M, L, XL",4.2,929,50%,OFF,599
